genus_and_species,superkingdom,phylum,class,order,family,genus,Tmin,Topt_ave,Tmax,gc_count,gc_percentage,genome_size,accession,coding_bases,coding_density,ncbi_biosample,ncbi_country,ncbi_isolation_source,ncbi_lat_lon,gtdb_representative,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_rrna_count,ncbi_trna_count,protein_count,trna_aa_count,trna_count,checkm2_completeness,checkm2_contamination
Halococcus thailandensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,15,37,45,2505042,61.82205418531992,4052434,RS_GCF_000336715.1,3465831,85.52467480037923,SAMN02471640,none,none,none,TRUE,0,Halococcus thailandensis JCM 13552,4066,9,58,4366,19,59,97.44,1.12
Haloferax denitrificans,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,30,50,55,2536114,66.28677201851659,3825973,RS_GCF_000337795.1,3292470,86.05575627428631,SAMN02471644,none,none,none,TRUE,0,Haloferax denitrificans ATCC 35960,3747,3,53,3809,19,52,99.91,1.24
Haloferax elongans,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,30,53,55,2416876,61.154484862792614,3952136,RS_GCF_000336755.1,3458297,87.50450389359071,SAMN02471641,none,none,none,TRUE,0,Haloferax elongans ATCC BAA-1513,3855,5,55,3994,19,55,99.71,1.35
Haloferax gibbonsii,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,25,40,55,2594172,66.20396717685088,3918454,RS_GCF_001190965.1,3401161,86.79854350720973,SAMN03755233,Brazil: Lagoa Vermelha,saline saltern,none,FALSE,0,Haloferax gibbonsii,3774,6,57,3862,19,56,99.86,0.54
Haloferax larsenii,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,25,43.5,55,2310028,62.085460272103035,3720723,RS_GCF_024730625.1,3254254,87.46294738952618,SAMN19967896,India: Pachpadra Salt Lake; Rajashthan,Salt Lake,none,FALSE,0,Haloferax larsenii,none,6,55,3769,19,55,99.83,0.32
Haloferax massiliensis,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,25,37,45,2647961,66.34072879670977,4015175,RS_GCF_001368915.1,3432129,85.47893927412878,SAMEA3309464,none,none,none,TRUE,0,Haloferax massiliensis,3867,3,55,3919,19,55,99.75,1.82
Haloferax mediterranei,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,20,50.5,55,2353403,60.27092429726481,3904707,RS_GCF_000306765.2,3348782,85.76269615108124,SAMN02603397,none,none,none,TRUE,0,Haloferax mediterranei ATCC 33500,3821,6,57,3954,19,57,99.76,0.5
Haloferax mucosum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,23,47.5,55,2083638,61.84770354961825,3368982,RS_GCF_000337815.1,2902015,86.13922543961351,SAMN02471642,none,none,none,TRUE,0,Haloferax mucosum ATCC BAA-1512,3354,3,55,3454,19,54,97.81,0.09
Haloferax prahovense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,23,43,51,2569934,66.00463431209333,3893626,RS_GCF_000723845.1,3385427,86.94792463374756,SAMEA3139050,none,none,none,FALSE,0,Haloferax prahovense,3771,8,56,3848,19,55,99.84,0.74
Haloferax sulfurifontis,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,18,34.5,50,2565424,66.13819851276811,3878884,RS_GCF_014635105.1,3325697,85.73850107402026,SAMD00244848,none,none,none,FALSE,0,Haloferax sulfurifontis,none,6,55,3895,19,54,99.97,1.13
Haloferax volcanii,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,20,45,55,2584621,65.6011328197674,3940033,RS_GCF_018420055.1,3374317,85.64184614697389,SAMN16974885,Australia: Sydney,none,none,FALSE,0,Haloferax volcanii,none,3,53,4022,19,52,99.96,0.26
Halogeometricum borinquense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,22,40,50,1719429,61.00394031833344,2818554,GB_GCA_011765365.1,2477454,87.89804985109386,SAMN13341696,India,none,none,FALSE,0,Halogeometricum borinquense,none,6,53,2942,19,51,99.88,0.27
Halogeometricum limi,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,20,37,50,2381371,65.8521463874484,3616269,RS_GCF_900115785.1,3204616,88.61663775565368,SAMN04488124,none,none,none,TRUE,0,Halogeometricum limi,3552,5,51,3631,19,50,99.84,1.04
Halogeometricum pallidum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,25,30,45,2878173,65.64573686445723,4384515,RS_GCF_000337095.1,3745774,85.43188927395619,SAMN02471630,none,none,none,TRUE,0,Halogeometricum pallidum JCM 14848,4250,3,53,4349,19,52,99.98,3
Halogeometricum rufum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,25,41,55,2832575,67.6496402662925,4187125,RS_GCF_900112175.1,3667571,87.59162910111353,SAMN04487947,none,none,none,TRUE,0,Halogeometricum rufum,4103,4,51,4203,19,51,99.82,2.51
Halogranum amylolyticum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,20,37,50,3259621,62.917997315057974,5185690,RS_GCF_900110465.1,4347805,83.8423623471515,SAMN04487948,none,none,none,TRUE,0,Halogranum amylolyticum,5100,5,59,5334,19,59,100,10.82
Halogranum gelatinilyticum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,20,37,50,2455964,65.14170252032592,3770187,RS_GCF_900103715.1,3302031,87.5826848906964,SAMN04487949,none,none,none,TRUE,0,Halogranum gelatinilyticum,3705,6,53,3781,19,53,99.68,0.48
Halogranum rubrum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,20,37,50,2840431,62.204131742375566,4566676,RS_GCF_900114455.1,3960201,86.71955268996531,SAMN04487950,none,none,none,TRUE,0,Halogranum rubrum,4457,6,69,4580,19,68,99.99,3.45
Halogranum salarium,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,15,37,50,2794244,62.200660418057005,4492306,RS_GCF_000283335.1,3886827,86.5218664979634,SAMN02470186,South Korea,evaporitic salt crystal,none,FALSE,0,Halogranum salarium B-1,4392,3,67,4528,19,67,99.97,3.04
Halohasta litchfieldiae,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halohasta,25,30,45,1961695,58.87401103594154,3332022,RS_GCF_002788215.1,2900918,87.06179010822858,SAMN00117514,none,none,none,TRUE,0,Halohasta litchfieldiae,none,6,49,3446,19,49,99.16,0.33
Halohasta litorea,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halohasta,25,40,50,2316138,60.78574276093074,3810331,RS_GCF_024494645.1,3312318,86.92992813485233,SAMN29911641,China: Dalian; Liaoning,aquaculture farm,none,TRUE,0,Halohasta litorea,none,7,54,3947,19,53,99.94,2.01
Halolamina litorea,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,20,37,50,2063482,68.22812961043994,3024386,RS_GCF_026616205.1,2729254,90.24158953255304,SAMN29923289,China: Guangdong,Yangjiang marine solar saltern,none,TRUE,0,Halolamina litorea,none,7,45,3079,19,45,97.95,0.86
Halolamina pelagica,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,25,37,50,2120418,67.0883965332261,3160633,RS_GCF_900115675.1,2796858,88.49043846596552,SAMN05216277,none,none,none,TRUE,0,Halolamina pelagica,3130,6,45,3218,19,45,99.31,0.47
Halolamina rubra,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,20,37,50,2040370,69.0480307790082,2955001,RS_GCF_000739555.1,2622696,88.75448773113783,SAMD00018743,none,none,none,TRUE,0,Halolamina rubra,2985,4,45,3123,19,46,92.94,0.58
Halolamina salifodinae,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,20,39.5,45,1832695,66.587254902317,2752321,RS_GCF_017874235.1,2425552,88.12751128956252,SAMN18247528,none,none,none,TRUE,0,Halolamina salifodinae,none,6,45,2818,19,45,91.79,0.01
Halolamina sediminis,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,25,38.5,45,1926768,67.94303522954958,2835858,RS_GCF_001282785.1,2521813,88.92592647445676,SAMEA3451356,none,solar saltern,none,TRUE,0,Halolamina sediminis,2827,6,46,2886,19,46,97.87,0
Halomarina oriensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomarina,20,37,42,2718549,66.79962464128253,4069707,RS_GCF_009791395.1,3543265,87.06437588750246,SAMN13563881,Japan: Tokyo,water,33.882715 N 139.769672 E,TRUE,0,Halomarina oriensis,none,3,47,4297,19,47,99.63,1
Halomarina rubra,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomarina,20,37,50,2704045,66.47923799933277,4068489,RS_GCF_023699475.1,3497157,85.95714526941083,SAMN27867787,China: Zhejiang,Zhoushan marine solar saltern,none,TRUE,0,Halomarina rubra,none,3,46,4221,19,46,99.56,0.97
Halomarina salina,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomarina,20,30,55,2972749,66.6245549583567,4461942,RS_GCF_023074835.1,3814328,85.4858265750653,SAMN27594321,China: Zhejiang; Zhoushan,marine solar saltern,none,TRUE,0,Halomarina salina,none,3,46,4454,19,46,99.69,3.91
Halomicroarcula limicola,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicroarcula,20,37,50,2572438,65.84709692414334,3906684,RS_GCF_010119205.1,3417084,87.46763239617026,SAMN13386517,China: Hainan,solar saltern,none,TRUE,0,Haloarcula limicola,none,4,46,3898,19,46,99.98,2.64
Halomicroarcula pellucida,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicroarcula,25,40,55,2587463,65.31691589686267,3961411,RS_GCF_014647235.1,3489106,88.0773542558447,SAMD00245267,none,none,none,TRUE,0,Haloarcula pellucida,none,14,45,4049,19,44,99.88,2.18
Halomicroarcula salina,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicroarcula,20,37,50,2527696,66.733813321914,3788104,RS_GCF_010119195.1,3337773,88.11196841480593,SAMN13386515,China: Hainan,solar saltern,none,TRUE,0,Haloarcula salina,none,4,44,3818,19,43,99.96,1.21
Halomicrobium katesii,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,35,38.5,50,2344938,65.03188726694673,3607771,RS_GCF_000379085.1,3099719,85.91784234642387,SAMN02261322,Chile,Lake Tebenquiche; Atacama saltern; Chile,27.566 S 70.050 W,TRUE,0,Halomicrobium katesii DSM 19301,3543,9,49,3661,19,49,99.94,0.77
Halomicrobium zhouii,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,20,42,55,2813837,66.22111130827454,4250330,RS_GCF_900114435.1,3626726,85.32810393545913,SAMN05216559,none,none,none,TRUE,0,Halomicrobium zhouii,4003,5,62,4124,19,59,99.55,0.86
Halonotius pteroides,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,25,45,45,1797040,59.70851463673311,3009688,RS_GCF_003605635.1,2622831,87.1462756272411,SAMN09473900,Australia: Cheetham Salt Works; Geelong,solar saltern,none,TRUE,0,Halonotius pteroides,none,3,47,3195,19,46,99.49,3.87
Halonotius roseus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,25,37,50,1607374,62.68444613609304,2564341,RS_GCF_006861655.1,2269565,88.5048049381888,SAMN10868424,Spain: Isla Cristina; Huelva,solar saltern,none,TRUE,0,Halonotius roseus,none,4,44,2696,19,44,94.47,0.49
Halonotius terrestris,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,25,37,50,1748751,61.8484606594501,2841436,RS_GCF_006861665.1,2514980,88.5108797101184,SAMN10397912,Spain: Marismas del Odiel; Huelva,saline soil,none,TRUE,0,Halonotius terrestris,none,9,47,3070,19,47,95.05,3.42
Haloparvum sedimenti,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Haloparvum,25,42,50,2203797,68.27373598307746,3243052,RS_GCF_001462205.1,2736187,84.37074089468808,SAMN04018174,China: Yunnan,salt mine,none,TRUE,0,Haloparvum sedimenti,3219,5,47,3307,19,47,98.2,0.95
Halopelagius inordinatus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halopelagius,20,37,50,2294866,65.02305974168895,3529311,RS_GCF_900113245.1,3087942,87.49418795906624,SAMN04488063,none,none,none,TRUE,0,Halopelagius inordinatus,3552,6,51,3605,19,50,99.91,0.81
Halopelagius longus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halopelagius,20,48,55,2544329,65.71520224311945,3871751,RS_GCF_900100875.1,3351419,86.56080930824322,SAMN05216278,none,none,none,TRUE,0,Halopelagius longus,3721,7,49,3818,19,49,99.82,2.01
Halopenitus malekzadehii,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halopenitus,30,40,50,2022475,64.48020026889134,3136824,RS_GCF_900108505.1,2711143,86.4295542242727,SAMN05192561,none,none,none,TRUE,0,Halopenitus malekzadehii,3068,5,49,3133,19,49,99.61,0.61
Halopenitus persicus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halopenitus,25,40,50,2048894,65.96701736062258,3105937,RS_GCF_002355635.1,2665310,85.81339544234156,SAMD00053810,South Korea,food product,36.5875 N 126.3745 E,TRUE,0,Halopenitus persicus,2979,6,63,3006,19,62,99.52,0.13
Halopiger djelfimassiliensis,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halopiger,37,40,55,2414977,64.30947344818964,3776554,RS_GCF_000455365.1,3241137,85.82260441661896,SAMEA2272053,none,none,none,TRUE,0,Halopiger djelfimassiliensis,3671,4,49,3719,19,49,96.66,0.36
Halopiger goleimassiliensis,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halopiger,40,55,60,2580576,66.0643353721664,3906364,RS_GCF_000455345.1,3349020,85.73240998534699,SAMEA2272090,none,none,none,TRUE,0,Halopiger goleimassiliensis,3756,5,48,3853,19,47,99.7,0.47
Halopiger salifodinae,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halopiger,25,41,50,2794594,65.44825452601202,4272165,RS_GCF_900110455.1,3620642,84.7495824716508,SAMN05216285,none,none,none,TRUE,0,Natrinema salifodinae,4010,6,50,4123,19,50,100,0.81
Halopiger xanaduensis,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halopiger,28,37,45,2838921,65.18361212214725,4355268,RS_GCF_000217715.1,3718805,85.3863642834379,SAMN02232028,China,sediment of Lake Shangmatala,43.2 N 114.016 E,TRUE,0,Halopiger xanaduensis SH-6,4178,10,50,4264,19,49,99.98,1.65
Haloplanus aerogenes,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,25,38.5,50,2300810,65.67940550804832,3503092,RS_GCF_003856835.1,3110516,88.79344304974006,SAMN09684815,China,sediment of marine solar saltern,34.727222 N 119.296667 E,TRUE,0,Haloplanus aerogenes,none,6,51,3612,19,50,99.88,1.12
Haloplanus natans,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,37,40,52,2468816,65.0075900503853,3797935,RS_GCF_000427685.1,3295374,86.767519717952,SAMN02440896,Israel,none,31.1 N 35.383333 E,TRUE,0,Haloplanus natans DSM 17983,3788,4,61,3968,19,62,99.8,1.61
Haloplanus rallus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,15,37,55,2372506,66.63777398658878,3560302,RS_GCF_009762275.1,3138789,88.16075153175208,SAMN10524788,South Korea: Incheon,Non-purified solar salt,none,FALSE,0,Haloplanus rallus,none,6,48,3645,19,47,99.89,2.34
Haloplanus ruber,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,25,37,45,2136989,65.23350632359222,3275907,RS_GCF_024494725.1,2906582,88.72602305254698,SAMN29911661,China: Dalian,aquaculture farm,none,TRUE,0,Haloplanus ruber,none,9,48,3364,19,47,99.68,0.48
Haloplanus salinarum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,25,37,50,2313957,67.05362796136086,3450905,RS_GCF_024498175.1,3028259,87.75260402705956,SAMN29883561,South Korea: Buan,brine samples from the Gomso solar saltern,none,TRUE,0,Haloplanus salinarum,none,6,48,3566,19,47,99.96,1.99
Haloplanus salinus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,20,37,50,2350362,66.22420682663595,3549098,RS_GCF_003336245.1,3092281,87.12864508108821,SAMN09684816,China: Hainan Province; near Sanya city,crystallizer pond of Yinggehai marine solar saltern,18.531111 N 108.727500 E,TRUE,0,Haloplanus salinus,none,6,61,3620,19,61,99.93,0.93
Haloplanus vescus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,30,40,50,1807780,65.1099368126248,2776859,RS_GCF_900107665.1,2497850,89.95235264015926,SAMN04488065,none,none,none,TRUE,0,Haloplanus vescus,2836,7,48,2900,19,47,99.8,3.67
Haloprofundus halophilus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloprofundus,25,37,50,2267854,65.2931384240308,3473342,RS_GCF_003439925.1,2992828,86.16565831985449,SAMN09711351,China,inland saline soil,none,TRUE,0,Haloprofundus halophilus,none,7,50,3485,19,49,99.35,0.1
Haloprofundus marisrubri,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloprofundus,15,34,45,2457255,62.53262136164458,3929557,RS_GCF_001469955.1,3430360,87.29635427097762,SAMN04318426,Saudi Arabia: Discovery deep brine-seawater interface; Red Sea,brine-seawater interface,none,TRUE,0,Haloprofundus marisrubri,3912,12,51,4029,19,49,99.86,0.54
Haloquadratum walsbyi,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,25,45,45,1412540,47.520956568925975,2972458,RS_GCF_903989505.1,2331309,78.43034283411238,SAMEA7074294,none,Hipersaline environment,none,FALSE,0,Haloquadratum walsbyi,none,5,45,2889,19,45,99.04,0.3
Halorhabdus rudnickae,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,20,40,57.5,2062005,61.32349582335069,3362504,RS_GCF_900880625.1,2908345,86.4934287067019,SAMEA5537954,none,none,none,TRUE,0,Halorhabdus rudnickae,none,3,46,3486,19,46,99.99,2.44
Halorhabdus tiamatea,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,15,45,55,1973989,62.74280392605589,3146160,RS_GCF_000470655.1,2761088,87.76057161746382,SAMEA2271992,none,none,none,TRUE,0,Halorhabdus tiamatea SARL4B,3073,3,47,3161,19,47,99.99,0.54
Halorhabdus utahensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,17,50,55,1960463,62.8999661511264,3116795,RS_GCF_000023945.1,2758468,88.50335039680185,SAMN00002611,none,none,none,TRUE,0,Halorhabdus utahensis DSM 12940,2947,3,46,3043,19,46,99.98,0.45
Halorientalis persicus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,30,40,50,3090182,63.456712749817854,4869758,RS_GCF_900110215.1,4246134,87.19394269694716,SAMN05216388,none,none,none,TRUE,0,Halorientalis persicus,4911,8,74,5164,19,71,100,4.1
Halorientalis regularis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,20,37,50,2624227,65.08572144282364,4031955,RS_GCF_023698535.1,3512134,87.10747019746005,SAMN27395177,China: Lianyungang; Jiangsu,marine solar saltern,none,TRUE,0,Halorientalis regularis,none,10,63,4213,19,61,99.99,1.12
Halorubellus litoreus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubellus,25,37,50,3105348,67.63969789680449,4591785,RS_GCF_037081675.1,3997158,87.05019943224694,SAMN39526644,none,none,none,TRUE,0,Halorubellus litoreus,none,3,49,4382,19,49,99.97,2.84
Halorubellus salinus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubellus,25,37,50,2762440,67.95362768327338,4065184,RS_GCF_020567525.1,3535522,86.9707742626164,SAMN22374872,China: Shandong,saline soil,none,TRUE,0,Halorubellus salinus,none,8,48,3963,19,48,99.81,1.61
Halorubrum aethiopicum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,30,41,55,2260596,67.9721087146736,3325770,RS_GCF_001542905.1,2872127,86.35976029611187,SAMN04278861,South Korea,rock salt obtained from Danakil depression in Ethiopia,none,TRUE,0,Halorubrum aethiopicum,3204,6,49,3255,19,49,99.16,0.01
Halorubrum aidingense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,25,41,52,2088593,67.19058080509937,3108525,RS_GCF_000336995.1,2702970,86.95345863391802,SAMN02471664,none,none,none,TRUE,0,Halorubrum aidingense JCM 13560,2961,9,53,3062,19,52,94.82,0.37
Halorubrum alkaliphilum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,20,38,44,1998187,64.49569762288783,3098171,RS_GCF_017873815.1,2677932,86.4359004070466,SAMN18245801,China: Xin-Jiang; China,none,43.793 N 87.627 E,TRUE,0,Halorubrum alkaliphilum,none,4,60,3095,19,60,97.74,1.31
Halorubrum amylolyticum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,28,38,50,2405077,66.26867242611624,3630756,RS_GCF_004114995.1,3070565,84.57095436873202,SAMN10782550,China: Yunnan,Salt mine,none,TRUE,0,Halorubrum amylolyticum,none,3,59,3615,19,59,99.98,5.14
Halorubrum aquaticum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,25,37.5,50,2146216,67.40412210412858,3184102,RS_GCF_900113615.1,2752893,86.45743760721233,SAMN04488066,none,none,none,TRUE,0,Halorubrum aquaticum,none,5,47,3142,19,47,99.54,0.08
Halorubrum arcis,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,25,42,55,2277628,67.33667450320004,3382601,RS_GCF_000337015.1,2863225,84.64566172599133,SAMN02471647,none,none,none,FALSE,0,Halorubrum arcis JCM 13916,3289,21,51,3376,19,51,99.79,0.18
Halorubrum californiense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,25,37,42,2437501,66.18848953448399,3682872,RS_GCF_000336875.1,3136603,85.16730964312634,SAMN02471648,none,none,none,TRUE,0,Halorubrum californiense DSM 19288,3532,4,47,3652,19,47,95.63,0.62
Halorubrum cibi,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,17,33.5,45,2122228,66.82036007329928,3176020,RS_GCF_900182635.1,2773680,87.33194375350281,SAMN06264867,none,none,none,TRUE,0,Halorubrum cibi,none,3,48,3119,19,48,99.48,0.11
Halorubrum coriense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,30,50,56,2442022,66.99306976379258,3645313,RS_GCF_000337035.1,3099852,85.036648430464,SAMN02471634,none,none,none,TRUE,0,Halorubrum coriense DSM 10284,3527,4,49,3623,19,49,100,2.99
Halorubrum depositum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,25,38,50,2184522,68.63393300365081,3182860,RS_GCF_007671725.1,2767393,86.94673972465016,SAMN11869061,China: Yunnan,salt deposit,26.10 N 99.78 E,TRUE,0,Halorubrum depositum,none,5,51,3134,19,50,99.98,2.16
Halorubrum distributum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,26,45,50,2262018,67.8457903251833,3334150,RS_GCF_033100775.1,2849396,85.46094206919305,SAMN37925445,none,none,none,FALSE,0,Halorubrum distributum,none,9,51,3278,19,52,99.7,0.72
Halorubrum ejinorense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,25,37,50,2299071,67.607744861720107,3400869,RS_GCF_039522565.1,2936018,86.33140529670504,SAMD00644964,none,none,none,TRUE,0,Halorubrum ejinorense,none,4,48,3337,19,48,99.98,1.27
Halorubrum ezzemoulense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,22,38.5,50,2216210,67.67675441315369,3274958,RS_GCF_002252875.1,2827092,86.32452690996342,SAMN02716041,Iran: Aran-Bidgol,endorheic salt-lake,none,FALSE,0,Halorubrum ezzemoulense,3160,4,46,3219,19,47,99.89,0.39
Halorubrum halodurans,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,20,37,45,2245592,67.65903892849104,3320122,RS_GCF_002252985.1,2870720,86.46429257720048,SAMN02716035,Iran: Aran-Bidgol,endorheic salt-lake,none,TRUE,0,Halorubrum halodurans,3251,3,56,3361,19,56,94.94,0.35
Halorubrum halophilum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,20,37.5,45,2395793,65.1389855983095,3677984,RS_GCF_000739595.1,3088359,83.96879921174208,SAMD00018745,none,none,none,TRUE,0,Halorubrum halophilum,3533,8,57,3670,19,57,99.62,3.02
Halorubrum kocurii,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,25,37,55,2420140,66.86215809720201,3619738,RS_GCF_000337355.1,3098491,85.59986938281169,SAMN02471633,none,none,none,TRUE,0,Halorubrum kocurii JCM 14978,3457,4,48,3571,19,48,98.54,2.67
Halorubrum lacusprofundi,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,4,36,40,2143771,65.38775818951727,3278551,RS_GCF_002215285.1,2821007,86.04432262911268,SAMN05786778,Antarctica: Deep Lake,water sample,none,FALSE,0,Halorubrum lacusprofundi,3359,5,51,3473,19,50,99.91,0.02
Halorubrum laminariae,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,20,30,50,2276381,62.85072551999856,3621885,RS_GCF_024494655.1,3112082,85.92437363417116,SAMN29911662,China: Dalian; Liaoning,aquaculture farm,none,TRUE,0,Halorubrum laminariae,none,3,52,3701,19,51,99.89,6.19
Halorubrum lipolyticum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,25,46.5,58,2329410,68.012864402598,3425042,RS_GCF_902377425.1,2962241,86.4877277417328,SAMEA5851197,none,human gut,none,FALSE,0,Halorubrum lipolyticum,none,4,48,3308,19,48,99.37,1.16
Halorubrum litoreum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,20,39.5,55,2161954,68.90378188461271,3137757,RS_GCF_000337395.1,2708537,86.32080177018169,SAMN02471646,none,none,none,FALSE,0,Halorubrum litoreum JCM 13561,3025,8,47,3100,19,48,99.54,0.45
